Source,Target,Weight
101,103,1
166,176,1
191,192,1
24,15,1
181,204,1
77,81,1
67,55,1
52,53,1
70,57,1
22,25,1
74,78,1
156,164,1
47,28,1
201,185,1
191,194,1
183,190,1
71,62,1
47,42,1
73,78,1
202,183,1
129,131,1
199,187,1
20,16,1
24,25,1
84,86,1
120,112,1
33,35,1
189,191,1
54,68,1
208,182,1
183,185,1
228,229,1
179,197,1
125,126,1
48,37,1
185,191,1
71,63,1
31,38,1
58,61,1
74,92,1
34,36,1
74,98,1
198,182,1
181,192,1
21,18,1
97,77,1
73,92,1
46,38,1
22,17,1
117,123,1
201,187,1
26,31,1
131,133,1
174,154,1
88,83,1
118,111,1
148,143,1
104,83,1
22,10,1
107,110,1
73,100,1
11,16,1
73,81,1
166,175,1
25,14,1
45,50,1
179,187,1
181,155,1
116,113,1
16,17,1
108,115,1
89,97,1
93,33,1
45,35,1
147,152,1
20,12,1
14,17,1
217,213,1
49,30,1
60,62,1
83,87,1
197,200,1
88,97,1
14,16,1
90,77,1
95,87,1
20,21,1
180,183,1
105,112,1
232,224,1
50,29,1
162,165,1
88,96,1
98,103,1
7,14,1
48,51,1
105,106,1
198,201,1
177,171,1
20,23,1
196,201,1
92,103,1
151,143,1
197,207,1
149,142,1
103,82,1
71,57,1
97,84,1
77,78,1
180,194,1
100,77,1
196,155,1
50,43,1
227,229,1
23,11,1
21,24,1
30,38,1
47,40,1
118,124,1
119,110,1
91,103,1
232,225,1
49,50,1
52,66,1
211,217,1
153,164,1
237,238,1
25,13,1
104,86,1
197,189,1
45,30,1
155,166,1
66,61,1
220,230,1
99,87,1
208,185,1
59,61,1
92,77,1
155,193,1
69,57,1
74,81,1
93,84,1
89,86,1
154,171,1
81,85,1
135,138,1
88,86,1
99,80,1
