Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio,lat,lon
3658,"B·雅阔夫廖夫","Soviet Union / Northeast","Changchun Film Studio (1) & Moscow Film Studio (1)","化妆","化妆 (1)",1959,"Soviet Union / Northeast","False",0.006419858498650122,0.04031787082174043
3659,"B·都多洛娃","Soviet Union / Northeast","Changchun Film Studio (1) & Moscow Film Studio (1)","指挥","指挥 (1)",1959,"Soviet Union / Northeast","False",-0.5056914566576411,0.8100352633647385
3660,"O·卡拉耶夫","Soviet Union / Northeast","Changchun Film Studio (1) & Moscow Film Studio (1)","制片主任","制片主任 (1)",1959,"Soviet Union / Northeast","False",0.0868272538702064,-0.11638502164600184
3661,"张国良","Soviet Union / Northeast","Changchun Film Studio (1) & Moscow Film Studio (1)","制片主任","制片主任 (1)",1959,"Soviet Union / Northeast","False",0.9836169569872724,0.2760843876079182
3662,"珠兰琪琪柯","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)",1959,"Inner Mongolia / Northeast","False",0.8570224749311819,0.5816784824539636
3663,"宝音吉尔嘎郎","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.25735632281317633,-0.5183043452533929
3664,"乔鹿","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.5020045339223178,0.6958494083709594
3665,"关其格","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.644232762462813,0.1263608938016152
3666,"李玉泽","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.34425180904339414,-0.050583637477793264
3667,"孟和","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.4251074318115531,0.31059848176910476
3668,"陈达","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.8346522379694741,-0.10605464880329962
3669,"潘莹","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.2738401692789061,0.3040985011779205
3670,"包金贤","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.6476992661411811,-0.6954758504464236
3671,"格日乐","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.7217791092372319,-0.5997653716851297
3672,"徐迅行","Northeast","Changchun Film Studio (2) & Inner Mongolia Film Studio (1)","Acting","Acting (2)",1959,"Inner Mongolia / Northeast","False",42.859521651794466,125.30385102831242
3673,"程士荣","Beijing / Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1) & Beijing Film Studio (1)","Scriptwriter","Scriptwriter (2)",1959,"Inner Mongolia / Northeast","False",0.8106230478900531,0.7139370421146438
3674,"姚运焕","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Inner Mongolia / Northeast","False",-0.12241228537699422,-0.37174737855072526
3675,"汪钺","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Inner Mongolia / Northeast","False",0.14840188585533198,-0.6868752907404494
3676,"冯志鹏","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.41118343452612116,-0.9260335331447624
3677,"周堃","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.42350866397503006,0.16959731057098915
3678,"丛雅凤","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.032537067196604985,-0.8326206072048195
