Id,Label,GeoCategory,Affilations,Main Role,All Roles
975,"惠衍萍","Beijing","August First Film Studio (1)","Acting | 副导演","副导演 (1) & Acting (1)"
976,"金浪","Beijing","August First Film Studio (1)","Acting","Acting (1)"
977,"杜家","Beijing","August First Film Studio (1)","Acting","Acting (1)"
978,"张冬凉","Beijing","August First Film Studio (1)","摄影","摄影 (1)"
979,"流萤","Beijing","August First Film Studio (2) & Emei Film Studio (1)","摄影","摄影 (3)"
980,"李沛泉","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
981,"田丰","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
982,"王瑞檀","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
983,"李凤银","Beijing","August First Film Studio (1)","作曲","作曲 (1)"
984,"薛蕴华","Beijing","August First Film Studio (1)","剪接","剪接 (1)"
985,"徐潮","Beijing","August First Film Studio (1)","副导演","副导演 (1)"
986,"远方","Beijing","August First Film Studio (1)","制片主任","制片主任 (1)"
987,"阎日荣","Beijing","August First Film Studio (2)","剧务主任","剧务主任 (2)"
988,"庞春华","Beijing","August First Film Studio (1)","指挥","指挥 (1)"
989,"马玉涛","Beijing","August First Film Studio (1)","配唱","配唱 (1)"
990,"王苹","Beijing","August First Film Studio (1)","Director","Director (1)"
991,"袁先","Beijing","August First Film Studio (1)","Director","Director (1)"
992,"洛水","Beijing","August First Film Studio (1)","Scriptwriter","Scriptwriter (1)"
993,"王心刚","Beijing","August First Film Studio (1)","Acting","Acting (1)"
994,"何美萍","Beijing","August First Film Studio (1)","Acting","Acting (1)"
995,"李迦痒","Beijing","August First Film Studio (1)","Acting","Acting (1)"
996,"管一星","Beijing","August First Film Studio (1)","Acting","Acting (1)"
997,"吴南山","Beijing","August First Film Studio (1)","Acting","Acting (1)"
998,"赵彦","Beijing","August First Film Studio (1)","Acting","Acting (1)"
999,"唐棣","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1000,"惠毅","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1001,"吴漾","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1002,"何超群","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1003,"武金川","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1004,"张扬","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1005,"刘恒德","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1006,"曹樱","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1007,"刘龙","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1008,"郭祖培","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1009,"赵天伟","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1010,"薛伯青","Beijing","August First Film Studio (1)","摄影","摄影 (1)"
1011,"杨非","Beijing","August First Film Studio (1)","音乐","音乐 (1)"
1012,"王伟","Beijing / Sichuan","August First Film Studio (1) & Emei Film Studio (1)","美工","美工 (2)"
1013,"郭大震","Beijing","August First Film Studio (1)","录音","录音 (1)"
1014,"谷德显","Beijing","August First Film Studio (1)","副导演","副导演 (1)"
1015,"颜碧君","Beijing","August First Film Studio (1)","化妆","化妆 (1)"
1016,"许陆初","Beijing","August First Film Studio (1)","剪接","剪接 (1)"
1017,"王寅","Beijing","August First Film Studio (1)","特技设计","特技设计 (1)"
1018,"李家驹","Beijing / Sichuan","August First Film Studio (1) & Emei Film Studio (1)","剧务主任","剧务主任 (2)"
1019,"王公馥","Beijing","August First Film Studio (1)","特技摄影","特技摄影 (1)"
1020,"徐达","Beijing","August First Film Studio (1)","制片主任","制片主任 (1)"
1021,"蔡国屏","Beijing","August First Film Studio (1)","领唱","领唱 (1)"
1022,"孟常华","Beijing","August First Film Studio (1)","领唱","领唱 (1)"
1023,"许又新","Beijing","August First Film Studio (1)","Director","Director (1)"
1024,"黎阳","Beijing","August First Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1025,"张钟英","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1026,"袁霞","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1027,"谢万和","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1028,"万涤清","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1029,"王孝忠","Beijing","August First Film Studio (1)","Acting","Acting (1)"
1030,"贝玉田","Beijing","August First Film Studio (1)","剪接","剪接 (1)"
1031,"卢珏","Canton","Pearl River Film Studio (1)","Director","Director (1)"
1032,"斯蒙","Canton","Pearl River Film Studio (1)","Director","Director (1)"
1033,"王为一","Canton","Pearl River Film Studio (1)","Director","Director (1)"
1034,"徐严","Canton","Pearl River Film Studio (1)","Director","Director (1)"
1035,"张铮","Canton","Pearl River Film Studio (2)","Acting","Acting (2)"
1036,"李长华","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1037,"红冰","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1038,"蒋仕","Canton","Pearl River Film Studio (2)","摄影","摄影 (2)"
1039,"李生伟","Canton","Pearl River Film Studio (1)","摄影","摄影 (1)"
1040,"沈民辉","Canton","Pearl River Film Studio (1)","摄影","摄影 (1)"
1041,"龙庆云","Canton","Pearl River Film Studio (2)","摄影","摄影 (2)"
1042,"王云晖","Canton","Pearl River Film Studio (1)","摄影","摄影 (1)"
1043,"周伟","Canton","Pearl River Film Studio (1)","Director","Director (1)"
