周苏菲,Northeast,Northeast Film Studio (1),1949,Northeast,False
孙月枝,Northeast,Northeast Film Studio (3),1949,Northeast,False
周莹箴,Northeast,Northeast Film Studio (3) & Changchun Film Studio (8) & Moscow Film Studio (1),1949,Northeast,False
李超,Northeast,Northeast Film Studio (1),1949,Northeast,False
华永庄,Northeast,Northeast Film Studio (3) & Changchun Film Studio (3) & Xi'an Film Studio (3),1949,Northeast,False
王英,Northeast,Northeast Film Studio (5),1949,Northeast,False
李先觉,Xi'an,Northeast Film Studio (1) & Xi'an Film Studio (2) & Beijing Film Studio (1),1949,Northeast,False
岳忠华,Northeast,Northeast Film Studio (1),1949,Northeast,False
刘武县,Northeast,Northeast Film Studio (4),1949,Northeast,False
牛景纯,Northeast,Northeast Film Studio (2) & Changchun Film Studio (5),1949,Northeast,False
张有慧,Northeast,Northeast Film Studio (1),1949,Northeast,False
杜凤侠,Northeast,Northeast Film Studio (3) & Beijing Film Studio (1) & Changchun Film Studio (2),1949,Northeast,False
刘晶昆,Northeast,Northeast Film Studio (2),1949,Northeast,False
关航,Northeast,Northeast Film Studio (2),1949,Northeast,False
钱江,Beijing,Northeast Film Studio (3) & Beijing Film Studio (9) & Wuhan Film Studio (1) & Xinjiang Film Studio (1),1949,Northeast,False
葛炎,Shanghai (state),Northeast Film Studio (1) & Shanghai Film Studio (5) & Haiyan Film Studio (9),1949,Northeast,False
唐远之,Northeast,Northeast Film Studio (2),1949,Northeast,False
刘力,Northeast,Northeast Film Studio (3) & Changchun Film Studio (6),1949,Northeast,False
蔡光,Northeast,Northeast Film Studio (4) & Changchun Film Studio (14) & Inner Mongolia Film Studio (1) & Xi'an Film Studio (1),1949,Northeast,False
苏云鹏,Northeast,Northeast Film Studio (3) & Changchun Film Studio (2),1949,Northeast,False
李延江,Northeast,Northeast Film Studio (5) & Xi'an Film Studio (2) & Beijing Film Studio (1),1949,Northeast,False
王文起,Northeast,Northeast Film Studio (6) & Changchun Film Studio (3) & Xi'an Film Studio (1),1949,Northeast,False
汲永源,Northeast,Northeast Film Studio (3),1949,Northeast,False
明伟,Northeast,Northeast Film Studio (7),1949,Northeast,False
李玉英,Northeast,Northeast Film Studio (2),1949,Northeast,False
冯白鲁,Northeast,Northeast Film Studio (2) & Changchun Film Studio (2),1949,Northeast,False
王震之,Northeast,Northeast Film Studio (3),1949,Northeast,False
于蓝,Beijing,Northeast Film Studio (1) & Shanghai Film Studio (1) & Beijing Film Studio (5),1949,Northeast,False
安琪,Northeast,Northeast Film Studio (5) & Changchun Film Studio (4) & August First Film Studio (2),1949,Northeast,False
苏苓,Northeast,Northeast Film Studio (1),1949,Northeast,False
黄玲,Northeast,Northeast Film Studio (7) & Changchun Film Studio (7) & Harbin Film Studio (1),1949,Northeast,False
刘儒,Northeast,Northeast Film Studio (5) & Changchun Film Studio (10),1949,Northeast,False
马守清,Northeast,Northeast Film Studio (1),1949,Northeast,False
高田,Shanghai (state),Northeast Film Studio (3) & Shanghai Film Studio (3) & Haiyan Film Studio (6) & Jiangnan Film Studio (4) & Xinjiang Film Studio (1),1949,Northeast,False
赵鸿钧,Northeast,Northeast Film Studio (3),1949,Northeast,False
郑国恩,Beijing / Northeast,Northeast Film Studio (1) & Studio of Beijing Film Academy (1),1949,Northeast,False
傅英杰,Beijing,Northeast Film Studio (1) & Beijing Film Studio (15) & Tianjin Film Studio (1) & Hong Kong Jinsheng Film Company (1) & Xinjiang Film Studio (1),1949,Northeast,False
高振环,Northeast,Northeast Film Studio (1),1949,Northeast,False
王永瑞,Northeast,Northeast Film Studio (2) & Changchun Film Studio (1) & Xi'an Film Studio (1),1949,Northeast,False
织田,Northeast,Northeast Film Studio (1),1949,Northeast,False
阎永三,Northeast,Northeast Film Studio (1),1949,Northeast,False
钱仲选,Northeast,Northeast Film Studio (11),1949,Northeast,False
孙晓文,Northeast,Northeast Film Studio (1),1949,Northeast,False
王岚,Northeast,Northeast Film Studio (2) & Kunlun Film Company (1) & Changjiang-Kunlun Associated Film Studio (1) & Shanghai Film Studio (4) & Changchun Film Studio (10) & Haiyan Film Studio (1) & Jiangnan Film Studio (2) & Datong Film Company (2) & 惠昌商务有限公司 (1) & Guotai Film Company (1) & 中央电影摄影场一厂 (1),1949,Northeast,False
董士忠,Northeast,Northeast Film Studio (3),1949,Northeast,False
段明慨,Northeast,Northeast Film Studio (1),1949,Northeast,False
尹升山,Northeast,Northeast Film Studio (26) & Changchun Film Studio (76) & Shanghai Film Studio (1) & Lanzhou Film Studio (1) & Harbin Film Studio (1) & Inner Mongolia Film Studio (1) & Xi'an Film Studio (2),1949,Northeast,False
伊明,Beijing,Northeast Film Studio (1) & Beijing Film Studio (2),1949,Northeast,False
姚向黎,Beijing,Northeast Film Studio (1) & Beijing Film Studio (4),1949,Northeast,False
刘西林,Northeast,Northeast Film Studio (1) & Changchun Film Studio (1),1949,Northeast,False
周克,Northeast,Northeast Film Studio (2) & Beijing Film Studio (1) & Changchun Film Studio (5),1949,Northeast,False
孙凤琴,Beijing / Northeast,Northeast Film Studio (2) & Shanghai Film Studio (1) & Beijing Film Studio (2) & Tianjin Film Studio (1),1949,Northeast,False
张路,Northeast,Northeast Film Studio (1),1949,Northeast,False
陈民魂,Northeast,Northeast Film Studio (1) & Beijing Film Studio (1) & Shanghai Film Studio (1) & Central Newsreel and Documentary Film Studio (1) & Changchun Film Studio (8) & Inner Mongolia Film Studio (1),1949,Northeast,False
敬然,Northeast,Northeast Film Studio (6) & Changchun Film Studio (6),1949,Northeast,False
董志围,Northeast,Northeast Film Studio (1),1949,Northeast,False
俞翼如,Beijing,Northeast Film Studio (1) & Beijing Film Studio (16) & Garance Productions (France) (1) & Tianjin Film Studio (1) & Wuhan Film Studio (1),1949,Northeast,False
佐临,Shanghai (private),Wenhua Film Company (4) & Shanghai Film Studio (2) & Haiyan Film Studio (1),1949,Shanghai (private),True
赵钱孙,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
