Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio
152,"雷静","Canton","Pearl River Film Studio (1)","化妆","化妆 (1)",1966,"Canton","False"
153,"谢兰昆","Canton","Pearl River Film Studio (2)","绘景","绘景 (2)",1966,"Canton","False"
154,"徐双修","Canton","Pearl River Film Studio (2)","制片主任 | 制片","制片主任 (1) & 制片 (1)",1966,"Canton","False"
155,"刘欣","Canton","Pearl River Film Studio (2)","副导演 | Director","Director (1) & 副导演 (1)",1950,"Northeast","False"
156,"刘高","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Canton","False"
157,"李罗克","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1959,"Hubei","False"
158,"童金钟","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1959,"Hubei","False"
159,"姚美文","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
160,"刘洪铭","Canton","Pearl River Film Studio (1)","摄影","摄影 (1)",1960,"Beijing","False"
161,"黄冲","Canton","Pearl River Film Studio (1)","美工","美工 (1)",1954,"Shanghai (state)","False"
162,"李柏坚","Canton","Pearl River Film Studio (1)","录音","录音 (1)",1959,"Beijing","False"
163,"郭漱石","Canton","Pearl River Film Studio (1)","化妆","化妆 (1)",1960,"Canton","False"
164,"李冠军","Canton","Pearl River Film Studio (1)","剪辑","剪辑 (1)",1964,"Hong Kong / Canton","False"
165,"聂建新","Canton","Pearl River Film Studio (1)","制片","制片 (1)",1963,"Canton","False"
166,"林岚","Canton","Pearl River Film Studio (2)","Acting | 副导演 | Director","Director (1) & 副导演 (1) & Acting (1)",1960,"Canton","False"
167,"金琼珍","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
168,"赵菊元","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
169,"李祥林","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
170,"王利彪","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
171,"黄剑雄","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
172,"黄尚初","Canton","Pearl River Film Studio (1)","音乐设计","音乐设计 (1)",1966,"Canton","False"
173,"张九","Canton","Pearl River Film Studio (1)","音乐设计","音乐设计 (1)",1966,"Canton","False"
174,"卢明文","Canton","Pearl River Film Studio (1)","录音","录音 (1)",1963,"Hong Kong / Canton","False"
175,"刘锡林","Canton","Pearl River Film Studio (1)","舞台导演","舞台导演 (1)",1966,"Canton","False"
176,"雷秉泰","Canton","Pearl River Film Studio (1)","绘景","绘景 (1)",1966,"Canton","False"
177,"叶敬","Canton","Pearl River Film Studio (1)","剪辑","剪辑 (1)",1965,"Canton","False"
178,"黄佩华","Canton","Pearl River Film Studio (1)","化妆","化妆 (1)",1962,"Canton","False"
179,"伊琳","Canton","Pearl River Film Studio (1)","Scriptwriter | Director","Director (1) & Scriptwriter (1)",1950,"Beijing / Northeast","False"
180,"朱道南","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Canton","False"
181,"于炳坤","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Canton","False"
182,"于洋","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1949,"Northeast","False"
183,"简瑞超","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1959,"Canton","False"
184,"杜熊文","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
185,"刘冠雄","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
186,"史进","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1960,"Canton","False"
187,"王蓓","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1949,"Shanghai (private)","True"
188,"郭艺文","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1954,"Northeast","False"
189,"吴慧明","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
190,"于尤","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
191,"谈鹏飞","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1959,"Canton","False"
192,"王志文","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
193,"李镛","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1954,"Shanghai (state)","False"
194,"林涛","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1955,"Northeast","False"
195,"刘锦棠","Canton","Pearl River Film Studio (2)","摄影","摄影 (2)",1966,"Canton","False"
196,"姜今","Canton","Pearl River Film Studio (1)","美术","美术 (1)",1962,"Hong Kong / Canton","False"
197,"车明","Canton","Pearl River Film Studio (1)","作曲","作曲 (1)",1954,"Northeast","False"
198,"李烈鸿","Canton","Pearl River Film Studio (1)","录音","录音 (1)",1949,"Shanghai (private)","True"
199,"区达","Canton","Pearl River Film Studio (1)","制片","制片 (1)",1962,"Canton","False"
200,"胡重华","Canton","Pearl River Film Studio (1)","制片","制片 (1)",1963,"Hong Kong / Canton","False"
201,"史美成","Canton","Pearl River Film Studio (1)","照明","照明 (1)",1962,"Hong Kong / Canton","False"
202,"谭庆龙","Canton","Pearl River Film Studio (1)","剪辑","剪辑 (1)",1952,"Shanghai (private)","True"
203,"孔令奇","Canton","Pearl River Film Studio (1)","化妆","化妆 (1)",1957,"Shanghai (state)","False"
204,"谷家栋","Canton","Pearl River Film Studio (1)","特技","特技 (1)",1956,"Shanghai (state)","False"
205,"颜尧光","Canton","Pearl River Film Studio (1)","特技","特技 (1)",1964,"Canton","False"
206,"罗荣巨","Canton","Pearl River Film Studio (1)","领唱","领唱 (1)",1966,"Canton","False"
207,"王音镟","Canton","Pearl River Film Studio (1)","独唱","独唱 (1)",1965,"Beijing","False"
208,"杨桦","Canton","Pearl River Film Studio (1)","指挥","指挥 (1)",1958,"Canton","False"
209,"徐丹","Canton","Pearl River Film Studio (1)","Director","Director (1)",1960,"Hubei","False"
210,"陈衍","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Canton","False"
211,"徐清","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Canton","False"
212,"黄粦传","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1962,"Hong Kong / Canton","False"
213,"黄顺大","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
214,"林幼芳","Canton","Pearl River Film Studio (1)","Acting","Acting (1)",1966,"Canton","False"
215,"叶加良","Canton","Pearl River Film Studio (1)","美工","美工 (1)",1965,"Canton","False"
216,"管石銮","Canton","Pearl River Film Studio (1)","音乐设计","音乐设计 (1)",1962,"Hong Kong / Canton","False"
217,"吴伟忠","Canton","Pearl River Film Studio (1)","音乐设计","音乐设计 (1)",1966,"Canton","False"
218,"王仲宣","Canton","Pearl River Film Studio (1)","录音","录音 (1)",1959,"Hubei","False"
219,"陈葆祥","Canton","Pearl River Film Studio (1)","舞台导演","舞台导演 (1)",1962,"Hong Kong / Canton","False"
220,"刘斌","Xi'an","Xi'an Film Studio (1)","Director","Director (1)",1951,"Beijing","False"
221,"甘肃省武威专区人民歌舞剧团-常重新","Xi'an","Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Xi'an","False"
222,"甘肃省武威专区人民歌舞剧团-王坤","Xi'an","Xi'an Film Studio (1)","Scriptwriter","Scriptwriter (1)",1966,"Xi'an","False"
223,"姚长安","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
224,"陈文玲","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
225,"卢毓芳","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
226,"张福信","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
227,"刘淑慧","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
228,"赵滋萍","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
229,"雷月秀","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
230,"成子龙","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
231,"曹金山","Xi'an","Xi'an Film Studio (1)","摄影","摄影 (1)",1959,"Xi'an","False"
232,"张晓晖","Xi'an","Xi'an Film Studio (2)","美工","美工 (2)",1959,"Xi'an","False"
233,"翟西武","Xi'an","Xi'an Film Studio (1)","录音","录音 (1)",1966,"Xi'an","False"
234,"杨凤山","Xi'an","Xi'an Film Studio (2)","剧务主任","剧务主任 (2)",1961,"Xi'an","False"
235,"吴村","Xi'an","Xi'an Film Studio (1)","Director","Director (1)",1959,"Xi'an","False"
236,"纪健","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
237,"文茂吉","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
238,"朱冬燕","Xi'an","Xi'an Film Studio (1)","Acting","Acting (1)",1966,"Xi'an","False"
239,"于叔昭","Xi'an","Xi'an Film Studio (1)","摄影","摄影 (1)",1957,"Beijing","False"
240,"党存珠","Xi'an","Xi'an Film Studio (1)","录音","录音 (1)",1966,"Xi'an","False"
241,"张景隆","Xi'an","Xi'an Film Studio (1)","副导演","副导演 (1)",1966,"Xi'an","False"
