film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
Carnival Night,180,0.20785219399538107,12,8,Non-Chinese,Non-Chinese,1950,Feature,0.046511627906976744
Carnival Night,181,0.2090069284064665,14,37,Non-Chinese,Non-Chinese,1950,Feature,0.21511627906976744
Carnival Night,187,0.21593533487297922,19,32,Non-Chinese,Non-Chinese,1950,Feature,0.18604651162790697
Carnival Night,191,0.22055427251732102,11,14,Non-Chinese,Non-Chinese,1950,Feature,0.08139534883720931
Carnival Night,192,0.22170900692840648,14,37,Non-Chinese,Non-Chinese,1950,Feature,0.21511627906976744
Carnival Night,193,0.2228637413394919,14,36,Non-Chinese,Non-Chinese,1950,Feature,0.20930232558139536
Carnival Night,344,0.3972286374133949,14,11,Non-Chinese,Non-Chinese,1950,Feature,0.06395348837209303
Carnival Night,396,0.45727482678983833,12,27,Non-Chinese,Non-Chinese,1950,Feature,0.1569767441860465
Carnival Night,399,0.4607390300230947,11,23,Non-Chinese,Non-Chinese,1950,Feature,0.13372093023255813
Carnival Night,442,0.5103926096997691,11,15,Non-Chinese,Non-Chinese,1950,Feature,0.0872093023255814
Carnival Night,445,0.5138568129330254,11,12,Non-Chinese,Non-Chinese,1950,Feature,0.06976744186046512
Carnival Night,447,0.5161662817551963,12,10,Non-Chinese,Non-Chinese,1950,Feature,0.05813953488372093
Carnival Night,452,0.5219399538106235,11,53,Non-Chinese,Non-Chinese,1950,Feature,0.3081395348837209
Carnival Night,464,0.535796766743649,13,14,Non-Chinese,Non-Chinese,1950,Feature,0.08139534883720931
Carnival Night,466,0.5381062355658198,13,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,467,0.5392609699769053,12,16,Non-Chinese,Non-Chinese,1950,Feature,0.09302325581395349
Carnival Night,470,0.5427251732101617,15,18,Non-Chinese,Non-Chinese,1950,Feature,0.10465116279069768
Carnival Night,475,0.5484988452655889,12,21,Non-Chinese,Non-Chinese,1950,Feature,0.12209302325581395
Carnival Night,476,0.5496535796766744,12,18,Non-Chinese,Non-Chinese,1950,Feature,0.10465116279069768
Carnival Night,478,0.5519630484988453,15,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,480,0.5542725173210161,11,15,Non-Chinese,Non-Chinese,1950,Feature,0.0872093023255814
Carnival Night,482,0.5565819861431871,14,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,483,0.5577367205542725,11,34,Non-Chinese,Non-Chinese,1950,Feature,0.19767441860465115
Carnival Night,485,0.5600461893764435,12,22,Non-Chinese,Non-Chinese,1950,Feature,0.12790697674418605
Carnival Night,486,0.5612009237875288,12,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,487,0.5623556581986143,11,25,Non-Chinese,Non-Chinese,1950,Feature,0.14534883720930233
Carnival Night,489,0.5646651270207852,12,22,Non-Chinese,Non-Chinese,1950,Feature,0.12790697674418605
Carnival Night,502,0.5796766743648961,11,12,Non-Chinese,Non-Chinese,1950,Feature,0.06976744186046512
Carnival Night,547,0.6316397228637414,11,41,Non-Chinese,Non-Chinese,1950,Feature,0.23837209302325582
Carnival Night,553,0.6385681293302541,12,14,Non-Chinese,Non-Chinese,1950,Feature,0.08139534883720931
Carnival Night,574,0.6628175519630485,13,15,Non-Chinese,Non-Chinese,1950,Feature,0.0872093023255814
Carnival Night,577,0.6662817551963048,12,16,Non-Chinese,Non-Chinese,1950,Feature,0.09302325581395349
Carnival Night,601,0.6939953810623557,16,28,Non-Chinese,Non-Chinese,1950,Feature,0.16279069767441862
Carnival Night,602,0.6951501154734411,13,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,603,0.6963048498845266,19,31,Non-Chinese,Non-Chinese,1950,Feature,0.18023255813953487
Carnival Night,607,0.7009237875288684,12,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,612,0.7066974595842956,15,35,Non-Chinese,Non-Chinese,1950,Feature,0.20348837209302326
Carnival Night,615,0.710161662817552,12,23,Non-Chinese,Non-Chinese,1950,Feature,0.13372093023255813
Carnival Night,623,0.7193995381062356,13,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,624,0.7205542725173211,11,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,626,0.7228637413394919,11,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,627,0.7240184757505773,11,18,Non-Chinese,Non-Chinese,1950,Feature,0.10465116279069768
Carnival Night,630,0.7274826789838337,14,24,Non-Chinese,Non-Chinese,1950,Feature,0.13953488372093023
Carnival Night,642,0.7413394919168591,11,21,Non-Chinese,Non-Chinese,1950,Feature,0.12209302325581395
Carnival Night,650,0.7505773672055427,11,15,Non-Chinese,Non-Chinese,1950,Feature,0.0872093023255814
Carnival Night,653,0.754041570438799,12,65,Non-Chinese,Non-Chinese,1950,Feature,0.37790697674418605
Carnival Night,655,0.75635103926097,11,55,Non-Chinese,Non-Chinese,1950,Feature,0.31976744186046513
Carnival Night,664,0.766743648960739,11,57,Non-Chinese,Non-Chinese,1950,Feature,0.3313953488372093
Carnival Night,666,0.76905311778291,16,25,Non-Chinese,Non-Chinese,1950,Feature,0.14534883720930233
Carnival Night,668,0.7713625866050808,12,25,Non-Chinese,Non-Chinese,1950,Feature,0.14534883720930233
Carnival Night,669,0.7725173210161663,13,26,Non-Chinese,Non-Chinese,1950,Feature,0.1511627906976744
Carnival Night,696,0.8036951501154734,12,9,Non-Chinese,Non-Chinese,1950,Feature,0.05232558139534884
Carnival Night,718,0.8290993071593533,11,51,Non-Chinese,Non-Chinese,1950,Feature,0.29651162790697677
Carnival Night,719,0.8302540415704388,11,53,Non-Chinese,Non-Chinese,1950,Feature,0.3081395348837209
Carnival Night,723,0.8348729792147807,12,18,Non-Chinese,Non-Chinese,1950,Feature,0.10465116279069768
Carnival Night,729,0.8418013856812933,11,13,Non-Chinese,Non-Chinese,1950,Feature,0.0755813953488372
