film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
Citizen Kane,506,0.3531053733426378,0,39,United States,Hollywood,1940,Feature,0.4936708860759494
Citizen Kane,507,0.35380321004884857,0,30,United States,Hollywood,1940,Feature,0.379746835443038
Citizen Kane,508,0.35450104675505933,0,33,United States,Hollywood,1940,Feature,0.4177215189873418
Citizen Kane,509,0.35519888346127004,0,24,United States,Hollywood,1940,Feature,0.3037974683544304
Citizen Kane,510,0.3558967201674808,0,28,United States,Hollywood,1940,Feature,0.35443037974683544
Citizen Kane,514,0.3586880669923238,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,515,0.35938590369853457,0,19,United States,Hollywood,1940,Feature,0.24050632911392406
Citizen Kane,516,0.3600837404047453,0,25,United States,Hollywood,1940,Feature,0.31645569620253167
Citizen Kane,517,0.36078157711095604,0,25,United States,Hollywood,1940,Feature,0.31645569620253167
Citizen Kane,518,0.3614794138171668,0,36,United States,Hollywood,1940,Feature,0.45569620253164556
Citizen Kane,519,0.3621772505233775,0,26,United States,Hollywood,1940,Feature,0.3291139240506329
Citizen Kane,520,0.3628750872295883,0,22,United States,Hollywood,1940,Feature,0.27848101265822783
Citizen Kane,528,0.3684577808792743,0,21,United States,Hollywood,1940,Feature,0.26582278481012656
Citizen Kane,534,0.37264480111653875,0,15,United States,Hollywood,1940,Feature,0.189873417721519
Citizen Kane,556,0.38799720865317516,0,13,United States,Hollywood,1940,Feature,0.16455696202531644
Citizen Kane,557,0.3886950453593859,0,13,United States,Hollywood,1940,Feature,0.16455696202531644
Citizen Kane,561,0.39148639218422887,0,12,United States,Hollywood,1940,Feature,0.1518987341772152
Citizen Kane,563,0.3928820655966504,0,14,United States,Hollywood,1940,Feature,0.17721518987341772
Citizen Kane,568,0.3963712491277041,0,10,United States,Hollywood,1940,Feature,0.12658227848101267
Citizen Kane,729,0.5087229588276343,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,733,0.5115143056524774,0,12,United States,Hollywood,1940,Feature,0.1518987341772152
Citizen Kane,735,0.5129099790648988,0,21,United States,Hollywood,1940,Feature,0.26582278481012656
Citizen Kane,736,0.5136078157711096,0,16,United States,Hollywood,1940,Feature,0.20253164556962025
Citizen Kane,737,0.5143056524773203,0,14,United States,Hollywood,1940,Feature,0.17721518987341772
Citizen Kane,753,0.5254710397766923,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,754,0.526168876482903,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,755,0.5268667131891137,0,13,United States,Hollywood,1940,Feature,0.16455696202531644
Citizen Kane,761,0.5310537334263782,0,16,United States,Hollywood,1940,Feature,0.20253164556962025
Citizen Kane,768,0.5359385903698535,0,8,United States,Hollywood,1940,Feature,0.10126582278481013
Citizen Kane,910,0.6350314026517795,0,17,United States,Hollywood,1940,Feature,0.21518987341772153
Citizen Kane,912,0.636427076064201,0,11,United States,Hollywood,1940,Feature,0.13924050632911392
Citizen Kane,924,0.64480111653873,0,46,United States,Hollywood,1940,Feature,0.5822784810126582
Citizen Kane,1080,0.7536636427076064,0,42,United States,Hollywood,1940,Feature,0.5316455696202531
Citizen Kane,1237,0.8632240055826936,0,22,United States,Hollywood,1940,Feature,0.27848101265822783
Citizen Kane,1327,0.9260293091416608,0,11,United States,Hollywood,1940,Feature,0.13924050632911392
Citizen Kane,1349,0.9413817166782973,0,79,United States,Hollywood,1940,Feature,1.0
Citizen Kane,1362,0.9504535938590369,0,14,United States,Hollywood,1940,Feature,0.17721518987341772
