Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
nong jia le,农家乐,Shanghai Film Studio,Shanghai (state),True
da di chong guang,大地重光,Shanghai Film Studio,Shanghai (state),True
ren min de ju zhang,人民的巨掌,Kunlun Film Company,Shanghai (private),
wu xun zhuan (shang ji),武训传（上集）,Kunlun Film Company,Shanghai (private),
wu xun zhuan (xia ji),武训传（下集）,Kunlun Film Company,Shanghai (private),
tai ping chun,太平春,Wenhua Film Company,Shanghai (private),
si xiang wen ti,思想问题,Wenhua Film Company,Shanghai (private),
wo zhe yi bei zi,我这一辈子,Wenhua Film Company,Shanghai (private),True
fu shi (1950),腐蚀,Wenhua Film Company,Shanghai (private),
gui hua,鬼话,Northeast Film Studio,Northeast,True
xin er nv ying xiong zhuan,新儿女英雄传,Beijing Film Studio,Beijing,True
shan bei mu ge,陕北牧歌,Beijing Film Studio,Beijing,True
zou xiang xin zhong guo,走向新中国,Beijing Film Studio,Beijing,True
nv si ji,女司机,Shanghai Film Studio,Shanghai (state),True
tuan jie qi lai dao ming tian,团结起来到明天,Shanghai Film Studio,Shanghai (state),True
sheng li chong feng,胜利重逢,Shanghai Film Studio,Shanghai (state),True
shang rao ji zhong ying,上饶集中营,Shanghai Film Studio,Shanghai (state),True
hai shang feng bao,海上风暴,Shanghai Film Studio,Shanghai (state),True
cui gang hong qi,翠岗红旗,Shanghai Film Studio,Shanghai (state),True
liang jia chun,两家春,Changjiang Film Studio,Shanghai (private),
hong lou er you,红楼二尤,Guotai Film Company,Shanghai (private),
wo men fu fu zhi jian,我们夫妇之间,Kunlun Film Company,Shanghai (private),
jie jie mei mei zhan qi lai,姐姐妹妹站起来,Wenhua Film Company,Shanghai (private),
guan lian zhang,关连长,Wenhua Film Company,Shanghai (private),
cai feng shuang fei,彩凤双飞,Datong Film Company,Shanghai (private),
you yi jia ren jia,有一家人家,Wenhua Film Company,Shanghai (private),
pu tao shu le de shi hou,葡萄熟了的时候,Northeast Film Studio,Northeast,True
liu hao men,六号门,Northeast Film Studio,Northeast,True
yi guan hai ren dao,一贯害人道,Beijing Film Studio,Beijing,True
long xu gou,龙须沟,Beijing Film Studio,Beijing,True
nan zheng bei zhan,南征北战,Shanghai Film Studio,Shanghai (state),True
mei guo zhi chuang,美国之窗,Wenhua Film Company,Shanghai (private),
fang zhen zhu,方珍珠,Da Guangming Film Company,Shanghai (private),
