Region,Topic,Probability
Gansu,8,6.797102E-4
Canton,13,1.0176061356700004
Tianjin,14,0.0018579424699999999
Gansu,9,6.797102E-4
Zhejiang,0,0.59135985
Tianjin,11,0.0018579423699999998
Canton,15,1.9995837459600005
Tianjin,12,0.9877646074
Zhejiang,2,0.0029785843
Zhejiang,1,0.0029785845
Zhejiang,4,0.0029785838
Zhejiang,3,0.0029785836
Zhejiang,6,0.0029785836
Zhejiang,5,0.0029785843
Zhejiang,8,0.0029785845
Zhejiang,7,0.0029785836
Canton,1,2.00248254051
Canton,0,1.0295891909100001
Zhejiang,9,0.3669399
Canton,9,0.9514973959100002
Canton,8,0.034855050199999994
Canton,7,1.9957131434400004
Canton,6,1.0216916325900003
Canton,5,0.03485504683
Canton,4,2.9921991535300005
Canton,3,0.03485504873
Canton,2,1.02559068118
