ge ge he mei mei,Changchun Film Studio,Northeast
ma,Changchun Film Studio,Northeast
guan bu zhu,Changchun Film Studio,Northeast
ma ma yao wo chu jia,Changchun Film Studio,Northeast
pi bao,Changchun Film Studio,Northeast
bu ju xiao jie de ren,Changchun Film Studio,Northeast
ru ci duo qing,Changchun Film Studio,Northeast
guo qing shi dian zhong,Changchun Film Studio,Northeast
shang gan ling,Changchun Film Studio,Northeast
liu qiao er,Changchun Film Studio,Northeast
hua mu lan,Changchun Film Studio,Northeast
mei lan fang de wu tai yi shu (xia ji),Beijing Film Studio,Beijing
luo shen,Beijing Film Studio,Beijing
huang shan lei,Beijing Film Studio,Beijing
zhu fu,Beijing Film Studio,Beijing
wei le he ping,Shanghai Film Studio,Shanghai (state)
chun tian lai le,Shanghai Film Studio,Shanghai (state)
qiu weng yu xian ji,Shanghai Film Studio,Shanghai (state)
xiao bai qi de feng bo,Shanghai Film Studio,Shanghai (state)
shei shi xiong shou,Shanghai Film Studio,Shanghai (state)
mu qin,Shanghai Film Studio,Shanghai (state)
luo shui ji,Shanghai Film Studio,Shanghai (state)
xiao huo ban,Shanghai Film Studio,Shanghai (state)
li shi zhen,Shanghai Film Studio,Shanghai (state)
liang ge xiao zu qiu dui,Shanghai Film Studio,Shanghai (state)
tie dao you ji dui,Shanghai Film Studio,Shanghai (state)
jia,Shanghai Film Studio,Shanghai (state)
sha mo li de zhan dou,Shanghai Film Studio,Shanghai (state)
sou shu yuan,Shanghai Film Studio,Shanghai (state)
shi wu guan,Shanghai Film Studio,Shanghai (state)
song shi jie,Shanghai Film Studio,Shanghai (state)
an tang xiang hui,Shanghai Film Studio,Shanghai (state)
zhou xin fang de yi shu sheng huo,Shanghai Film Studio,Shanghai (state)
an tang ren mu,Shanghai Film Studio,Shanghai (state)
ge ma,Shanghai Film Studio,Shanghai (state)
chong po li ming qian de hei an,August First Film Studio,Beijing
zhei jue bu shi xiao shi qing,August First Film Studio,Beijing
you yuan jing meng (1956),Central Newsreel and Documentary Film Studio,Beijing
huang hua ling,Central Newsreel and Documentary Film Studio,Beijing
bao feng yu zhong de xiong ying,Changchun Film Studio,Northeast
ji jing de shan lin,Changchun Film Studio,Northeast
wei wan cheng de xi ju,Changchun Film Studio,Northeast
fu shi (1957),Changchun Film Studio,Northeast
qing chun de jiao bu,Changchun Film Studio,Northeast
